OBJECTID,ROCK_NAME,ROCK_TYPE,AQ_NAME,AQ_CODE,Shape_Leng,Shape_Area,observed
3546,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.02496751083,3.558462e-05,
108,Unconsolidated sand and gravel aquifers,100,Northern Rocky Mountains Intermontane Basins aquifer system,105,0.24073717446,0.00181118832,
3622,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201,0.02986304259,6.193679e-05,
3673,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.03145520139,4.81657e-05,
3790,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.02680863238,4.953639e-05,
3455,Unconsolidated sand and gravel aquifers,100,Surficial aquifer system,111,0.05967838105,0.00022330701,
4144,,999,Other rocks,999,0.04609663742,0.00011168364,
3488,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201,0.018404998,2.300643e-05,
111,,999,Other rocks,999,0.4602155705,0.00900244882,
3827,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.02533980827,4.290419e-05,
3882,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.02384132858,3.885581e-05,
3564,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201,0.03570396977,7.802694e-05,
3883,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.03088418338,6.625498e-05,
3787,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.0226354809,3.483187e-05,
3565,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201,0.03406022259,8.569908e-05,
3884,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.02933553409,5.733605e-05,
3690,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201,0.04301465791,0.00011428593,
127,,999,Other rocks,999,0.06604338588,0.0001085654,
569,Carbonate-rock aquifers,400,Silurian-Devonian aquifers,410,0.10304421615,0.00063823294,
2528,Semiconsolidated sand aquifers,200,Northern Atlantic Coastal Plain aquifer system,205,0.01714909055,1.738003e-05,
3321,,999,Other rocks,999,0.14832140084,0.00120599165,
128,Igneous and metamorphic-rock aquifers,600,Pacific Northwest basaltic-rock aquifers,610,0.24563900225,0.00349354546,
130,Sandstone aquifers,300,Lower Cretaceous aquifers,304,0.17425250883,0.00209723444,
980,,999,Other rocks,999,19.6194241239,4.39337665926,
2547,,999,Other rocks,999,2.64509436091,0.09569053941,
570,Carbonate-rock aquifers,400,Silurian-Devonian aquifers,410,0.02691604739,5.185786e-05,
3691,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201,0.02161418758,3.178316e-05,
3885,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.02959705242,5.913341e-05,
3007,,999,Other rocks,999,0.12367504329,0.00069787921,
3886,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.03032035841,6.208812e-05,
379,,999,Other rocks,999,0.0265039234,4.559433e-05,
184,Unconsolidated sand and gravel aquifers,100,Columbia Plateau basin-fill aquifers,116,0.22574561605,0.00270582249,
1315,,999,Other rocks,999,0.01610511453,1.162917e-05,
3888,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.02975033937,5.983107e-05,
